# d (Mpc)	z	Ecut (EeV)	attenuation
1	0.000233501	1	0.996945
2	0.000467027	1	0.996321
3	0.000700577	1	0.995698
4	0.000934152	1	0.995075
5	0.00116775	1	0.994451
6	0.00140138	1	0.993828
7	0.00163502	1	0.993204
8	0.0018687	1	0.992581
9	0.0021024	1	0.991957
10	0.00233612	1	0.991334
11	0.00256986	1	0.990711
12	0.00280364	1	0.990087
13	0.00303743	1	0.989463
14	0.00327125	1	0.98884
15	0.0035051	1	0.988216
16	0.00373897	1	0.987593
17	0.00397286	1	0.986969
18	0.00420678	1	0.986346
19	0.00444073	1	0.985722
20	0.0046747	1	0.985098
21	0.00490869	1	0.984475
22	0.00514271	1	0.983851
23	0.00537675	1	0.983228
24	0.00561082	1	0.982604
25	0.00584491	1	0.98198
26	0.00607903	1	0.981357
27	0.00631317	1	0.980733
28	0.00654734	1	0.980109
29	0.00678153	1	0.979485
30	0.00701574	1	0.978862
31	0.00724999	1	0.978238
32	0.00748425	1	0.977614
33	0.00771854	1	0.97699
34	0.00795286	1	0.976366
35	0.0081872	1	0.975743
36	0.00842156	1	0.975119
37	0.00865595	1	0.974495
38	0.00889037	1	0.973871
39	0.0091248	1	0.973247
40	0.00935927	1	0.972623
41	0.00959376	1	0.971999
42	0.00982827	1	0.971375
43	0.0100628	1	0.970752
44	0.0102974	1	0.970128
45	0.010532	1	0.969504
46	0.0107666	1	0.96888
47	0.0110012	1	0.968256
48	0.0112359	1	0.967632
49	0.0114706	1	0.967008
50	0.0117053	1	0.966384
51	0.01194	1	0.96576
52	0.0121748	1	0.965136
53	0.0124096	1	0.964511
54	0.0126444	1	0.963887
55	0.0128792	1	0.963263
56	0.0131141	1	0.962639
57	0.013349	1	0.962015
58	0.0135839	1	0.961391
59	0.0138188	1	0.960767
60	0.0140538	1	0.960143
61	0.0142888	1	0.959518
62	0.0145238	1	0.958894
63	0.0147588	1	0.95827
64	0.0149939	1	0.957646
65	0.015229	1	0.957022
66	0.0154641	1	0.956397
67	0.0156992	1	0.955773
68	0.0159344	1	0.955149
69	0.0161696	1	0.954525
70	0.0164048	1	0.9539
71	0.01664	1	0.953276
72	0.0168753	1	0.952652
73	0.0171106	1	0.952027
74	0.0173459	1	0.951403
