# d (Mpc)	z	Ecut (EeV)	attenuation
1	0.000233501	1	0.986187
2	0.000467027	1	0.987773
3	0.000700577	1	0.987925
4	0.000934152	1	0.987564
5	0.00116775	1	0.986946
6	0.00140138	1	0.986176
7	0.00163502	1	0.985308
8	0.0018687	1	0.984371
9	0.0021024	1	0.983383
10	0.00233612	1	0.982357
11	0.00256986	1	0.981301
12	0.00280364	1	0.980221
13	0.00303743	1	0.979121
14	0.00327125	1	0.978004
15	0.0035051	1	0.976874
16	0.00373897	1	0.975733
17	0.00397286	1	0.974581
18	0.00420678	1	0.97342
19	0.00444073	1	0.972251
20	0.0046747	1	0.971076
21	0.00490869	1	0.969894
22	0.00514271	1	0.968707
23	0.00537675	1	0.967515
24	0.00561082	1	0.966318
25	0.00584491	1	0.965118
26	0.00607903	1	0.963914
27	0.00631317	1	0.962706
28	0.00654734	1	0.961496
29	0.00678153	1	0.960282
30	0.00701574	1	0.959066
31	0.00724999	1	0.957847
32	0.00748425	1	0.956627
33	0.00771854	1	0.955404
34	0.00795286	1	0.954179
35	0.0081872	1	0.952952
36	0.00842156	1	0.951723
37	0.00865595	1	0.950493
38	0.00889037	1	0.949261
39	0.0091248	1	0.948028
40	0.00935927	1	0.946794
41	0.00959376	1	0.945558
42	0.00982827	1	0.944321
43	0.0100628	1	0.943083
44	0.0102974	1	0.941844
45	0.010532	1	0.940603
46	0.0107666	1	0.939362
47	0.0110012	1	0.93812
48	0.0112359	1	0.936877
49	0.0114706	1	0.935633
50	0.0117053	1	0.934388
51	0.01194	1	0.933143
52	0.0121748	1	0.931896
53	0.0124096	1	0.930649
54	0.0126444	1	0.929402
55	0.0128792	1	0.928154
56	0.0131141	1	0.926905
57	0.013349	1	0.925655
58	0.0135839	1	0.924406
59	0.0138188	1	0.923155
60	0.0140538	1	0.921904
61	0.0142888	1	0.920653
62	0.0145238	1	0.919401
63	0.0147588	1	0.918148
64	0.0149939	1	0.916896
65	0.015229	1	0.915643
66	0.0154641	1	0.914389
67	0.0156992	1	0.913135
68	0.0159344	1	0.911881
69	0.0161696	1	0.910626
70	0.0164048	1	0.909372
71	0.01664	1	0.908116
72	0.0168753	1	0.906861
73	0.0171106	1	0.905605
74	0.0173459	1	0.904349
75	0.0175812	1	0.903093
76	0.0178166	1	0.901837
77	0.018052	1	0.90058
78	0.0182874	1	0.899323
79	0.0185228	1	0.898066
80	0.0187583	1	0.896809
81	0.0189938	1	0.895552
82	0.0192293	1	0.894294
83	0.0194648	1	0.893037
84	0.0197004	1	0.891779
85	0.019936	1	0.890521
86	0.0201716	1	0.889263
87	0.0204072	1	0.888005
88	0.0206429	1	0.886747
89	0.0208786	1	0.885488
90	0.0211143	1	0.88423
91	0.0213501	1	0.882972
92	0.0215858	1	0.881713
93	0.0218216	1	0.880455
94	0.0220574	1	0.879196
95	0.0222933	1	0.877938
96	0.0225291	1	0.876679
97	0.022765	1	0.875421
98	0.023001	1	0.874162
99	0.0232369	1	0.872903
100	0.0234729	1	0.871645
101	0.0237089	1	0.870386
102	0.0239449	1	0.869128
103	0.0241809	1	0.867869
104	0.024417	1	0.866611
105	0.0246531	1	0.865353
106	0.0248892	1	0.864094
107	0.0251254	1	0.862836
108	0.0253615	1	0.861578
109	0.0255977	1	0.86032
110	0.025834	1	0.859062
111	0.0260702	1	0.857804
112	0.0263065	1	0.856546
113	0.0265428	1	0.855289
114	0.0267791	1	0.854031
115	0.0270154	1	0.852774
116	0.0272518	1	0.851516
117	0.0274882	1	0.850259
118	0.0277246	1	0.849002
119	0.0279611	1	0.847745
120	0.0281976	1	0.846489
121	0.0284341	1	0.845232
122	0.0286706	1	0.843976
123	0.0289072	1	0.842719
124	0.0291437	1	0.841463
125	0.0293803	1	0.840207
126	0.029617	1	0.838952
127	0.0298536	1	0.837696
128	0.0300903	1	0.836441
129	0.030327	1	0.835186
130	0.0305638	1	0.833931
131	0.0308005	1	0.832676
132	0.0310373	1	0.831422
133	0.0312741	1	0.830168
134	0.0315109	1	0.828914
135	0.0317478	1	0.82766
136	0.0319847	1	0.826407
137	0.0322216	1	0.825154
138	0.0324585	1	0.823901
139	0.0326955	1	0.822648
140	0.0329325	1	0.821396
141	0.0331695	1	0.820144
142	0.0334065	1	0.818892
143	0.0336436	1	0.81764
144	0.0338807	1	0.816389
145	0.0341178	1	0.815138
146	0.034355	1	0.813887
147	0.0345921	1	0.812637
148	0.0348293	1	0.811387
149	0.0350665	1	0.810137
150	0.0353038	1	0.808888
151	0.0355411	1	0.807639
152	0.0357783	1	0.80639
153	0.0360157	1	0.805142
154	0.036253	1	0.803894
155	0.0364904	1	0.802646
156	0.0367278	1	0.801399
157	0.0369652	1	0.800152
158	0.0372027	1	0.798905
159	0.0374401	1	0.797659
160	0.0376777	1	0.796413
161	0.0379152	1	0.795167
162	0.0381527	1	0.793922
163	0.0383903	1	0.792677
164	0.0386279	1	0.791433
165	0.0388656	1	0.790189
166	0.0391032	1	0.788946
167	0.0393409	1	0.787702
168	0.0395786	1	0.78646
169	0.0398163	1	0.785217
170	0.0400541	1	0.783975
171	0.0402919	1	0.782734
172	0.0405297	1	0.781493
173	0.0407675	1	0.780252
174	0.0410054	1	0.779012
