red	eCut	att
0.0001	1e+19	0.999277
0.0001	1.05925e+19	0.999277
0.0001	1.12202e+19	0.999266
0.0001	1.1885e+19	0.999284
0.0001	1.25893e+19	0.999278
0.0001	1.33352e+19	0.999267
0.0001	1.41254e+19	0.99932
0.0001	1.49624e+19	0.9993
0.0001	1.58489e+19	0.999189
0.0001	1.6788e+19	0.999246
0.0001	1.77828e+19	0.999176
0.0001	1.88365e+19	0.999162
0.0001	1.99526e+19	0.999178
0.0001	2.11349e+19	0.999145
0.0001	2.23872e+19	0.999043
0.0001	2.37137e+19	0.999151
0.0001	2.51189e+19	0.999164
0.0001	2.66073e+19	0.999184
0.0001	2.81838e+19	0.9991
0.0001	2.98538e+19	0.999239
0.0001	3.16228e+19	0.999286
0.0001	3.34965e+19	0.99905
0.0001	3.54813e+19	0.999089
0.0001	3.75837e+19	0.998983
0.0001	3.98107e+19	0.999222
0.0001	4.21697e+19	0.999187
0.0001	4.46684e+19	0.999089
0.0001	4.73151e+19	0.998762
0.0001	5.01187e+19	0.998761
0.0001	5.30884e+19	0.998901
0.0001	5.62341e+19	0.998587
0.0001	5.95662e+19	0.99828
0.0001	6.30957e+19	0.998515
0.0001	6.68344e+19	0.998308
0.0001	7.07946e+19	0.997572
0.0001	7.49894e+19	0.997689
0.0001	7.94328e+19	0.99678
0.0001	8.41395e+19	0.996307
0.0001	8.91251e+19	0.995313
0.0001	9.44061e+19	0.994176
0.0001	1e+20	0.992691
0.0026	1e+19	0.982222
0.0026	1.05925e+19	0.981911
0.0026	1.12202e+19	0.981534
0.0026	1.1885e+19	0.981394
0.0026	1.25893e+19	0.981097
0.0026	1.33352e+19	0.980749
0.0026	1.41254e+19	0.980629
0.0026	1.49624e+19	0.980507
0.0026	1.58489e+19	0.980476
0.0026	1.6788e+19	0.98021
0.0026	1.77828e+19	0.979972
0.0026	1.88365e+19	0.979804
0.0026	1.99526e+19	0.979545
0.0026	2.11349e+19	0.9794
0.0026	2.23872e+19	0.979432
0.0026	2.37137e+19	0.978923
0.0026	2.51189e+19	0.978817
0.0026	2.66073e+19	0.978503
0.0026	2.81838e+19	0.978632
0.0026	2.98538e+19	0.978535
0.0026	3.16228e+19	0.977862
0.0026	3.34965e+19	0.978266
0.0026	3.54813e+19	0.978186
0.0026	3.75837e+19	0.977389
0.0026	3.98107e+19	0.977038
0.0026	4.21697e+19	0.976624
0.0026	4.46684e+19	0.975413
0.0026	4.73151e+19	0.972704
0.0026	5.01187e+19	0.971049
0.0026	5.30884e+19	0.967865
0.0026	5.62341e+19	0.961735
0.0026	5.95662e+19	0.956767
0.0026	6.30957e+19	0.948477
0.0026	6.68344e+19	0.939495
0.0026	7.07946e+19	0.92735
0.0026	7.49894e+19	0.917145
0.0026	7.94328e+19	0.902317
0.0026	8.41395e+19	0.883007
0.0026	8.91251e+19	0.862123
0.0026	9.44061e+19	0.840869
0.0026	1e+20	0.814947
0.0051	1e+19	0.965331
0.0051	1.05925e+19	0.964893
0.0051	1.12202e+19	0.964183
0.0051	1.1885e+19	0.963633
0.0051	1.25893e+19	0.963578
0.0051	1.33352e+19	0.962896
0.0051	1.41254e+19	0.962504
0.0051	1.49624e+19	0.962427
0.0051	1.58489e+19	0.961361
0.0051	1.6788e+19	0.961141
0.0051	1.77828e+19	0.960508
0.0051	1.88365e+19	0.96026
0.0051	1.99526e+19	0.959993
0.0051	2.11349e+19	0.959566
0.0051	2.23872e+19	0.959684
0.0051	2.37137e+19	0.959199
0.0051	2.51189e+19	0.959439
0.0051	2.66073e+19	0.95956
0.0051	2.81838e+19	0.958343
0.0051	2.98538e+19	0.957725
0.0051	3.16228e+19	0.957629
0.0051	3.34965e+19	0.957043
0.0051	3.54813e+19	0.956335
0.0051	3.75837e+19	0.955696
0.0051	3.98107e+19	0.955168
0.0051	4.21697e+19	0.953563
0.0051	4.46684e+19	0.950846
0.0051	4.73151e+19	0.946348
0.0051	5.01187e+19	0.941562
