# [1]-ell [2]-1h+2h [3]-1h [4]-2h
2.000000000000000000e+00 5.657264835306813344e-02 5.224263022641706042e-03 5.134838533042642567e-02
3.000000000000000000e+00 3.854976469415583029e-02 4.775019153147853045e-03 3.377474554100797638e-02
4.000000000000000000e+00 2.829855360993299013e-02 4.418003060422082476e-03 2.388055054951090939e-02
5.000000000000000000e+00 2.181794936525510015e-02 4.121561053198491767e-03 1.769638831205661011e-02
6.000000000000000000e+00 1.743189265684984279e-02 3.868459944628217535e-03 1.356343271222162396e-02
7.000000000000000000e+00 1.432195716165285751e-02 3.648130261149799998e-03 1.067382690050305838e-02
8.000000000000000000e+00 1.203643546239993416e-02 3.453561176512206284e-03 8.582874285887727439e-03
9.000000000000000000e+00 1.030658288756201336e-02 3.279831280517546670e-03 7.026751607044466261e-03
1.000000000000000000e+01 8.964165401437719505e-03 3.123335177124536913e-03 5.840830224313183459e-03
1.100000000000000000e+01 7.899475295014652884e-03 2.981342234073497237e-03 4.918133060941155647e-03
1.200000000000000000e+01 7.038721324025326923e-03 2.851728266541441251e-03 4.186993057483885672e-03
1.300000000000000000e+01 6.331250306185596914e-03 2.732797251697918935e-03 3.598453054487677980e-03
1.400000000000000000e+01 5.741502678000663315e-03 2.623196838977109088e-03 3.118305839023554227e-03
1.500000000000000000e+01 5.243824880620629597e-03 2.521795424955324254e-03 2.722029455665305776e-03
1.600000000000000000e+01 4.819298666774973414e-03 2.427657533570979232e-03 2.391641133203994182e-03
1.700000000000000000e+01 4.453700682596728813e-03 2.339994044206990687e-03 2.113706638389738560e-03
1.800000000000000000e+01 4.137558072873197441e-03 2.257634620626136970e-03 1.879923452247060254e-03
1.900000000000000000e+01 3.858214219306425885e-03 2.181503772999675121e-03 1.676710446306750547e-03
2.000000000000000000e+01 3.613232188281693263e-03 2.109603258551398866e-03 1.503628929730294614e-03
2.100000000000000000e+01 3.395923289082774556e-03 2.042000503584392480e-03 1.353922785498381859e-03
2.200000000000000000e+01 3.202759216148412004e-03 1.977932675655305096e-03 1.224826540493107125e-03
2.300000000000000000e+01 3.028042210478361623e-03 1.918213313036251861e-03 1.109828897442109762e-03
2.400000000000000000e+01 2.871175095671544587e-03 1.861399284317249341e-03 1.009775811354295463e-03
2.500000000000000000e+01 2.729557392917536258e-03 1.807307387950233754e-03 9.222500049673025037e-04
2.600000000000000000e+01 2.599843076913723773e-03 1.756608329656017108e-03 8.432347472577065564e-04
2.700000000000000000e+01 2.481828384942041943e-03 1.708186228429942055e-03 7.736421565120998878e-04
2.800000000000000000e+01 2.373986501256652309e-03 1.661916221842977843e-03 7.120702794136743582e-04
2.900000000000000000e+01 2.274232753210285972e-03 1.618337900798953082e-03 6.558948524113326732e-04
3.000000000000000000e+01 2.182739469168976619e-03 1.576383879708094125e-03 6.063555894608826024e-04
3.100000000000000000e+01 2.097646758212826177e-03 1.536756048424109140e-03 5.608907097887169289e-04
3.200000000000000000e+01 2.019109310004416503e-03 1.498548635402869580e-03 5.205606746015469227e-04
3.300000000000000000e+01 1.945719229947996459e-03 1.462363891521258020e-03 4.833553384267383845e-04
3.400000000000000000e+01 1.877603605435820659e-03 1.427429746640946793e-03 4.501738587948737576e-04
3.500000000000000000e+01 1.813686939696165616e-03 1.394264391821327647e-03 4.194225478748378607e-04
3.600000000000000000e+01 1.754177741137255293e-03 1.362083139371239853e-03 3.920946017660154937e-04
3.700000000000000000e+01 1.698128636916091620e-03 1.331466834876384722e-03 3.666618020397068435e-04
3.800000000000000000e+01 1.645253820652649952e-03 1.302300997338427281e-03 3.429528233142226708e-04
3.900000000000000000e+01 1.595721425261136884e-03 1.273947866436742765e-03 3.217735588243941184e-04
4.000000000000000000e+01 1.548847004453475246e-03 1.246887993243986316e-03 3.019590112094890392e-04
4.100000000000000000e+01 1.504744236606667118e-03 1.220578749864736435e-03 2.841654867419306295e-04
4.200000000000000000e+01 1.462890419776063846e-03 1.195425812684388061e-03 2.674646070916757851e-04
4.300000000000000000e+01 1.423121809041618269e-03 1.171352946059826036e-03 2.517688629817921254e-04
4.400000000000000000e+01 1.385567599936744472e-03 1.147841254751035510e-03 2.377263451857090167e-04
4.500000000000000000e+01 1.349796965124851027e-03 1.125306187835452016e-03 2.244907772893990378e-04
4.600000000000000000e+01 1.315688660452145418e-03 1.103686991419118016e-03 2.120016690330275106e-04
4.700000000000000000e+01 1.283330788516002553e-03 1.082558644285470202e-03 2.007721442305324599e-04
4.800000000000000000e+01 1.252411137839388490e-03 1.062262108572403904e-03 1.901490292669846132e-04
4.900000000000000000e+01 1.222838019011755024e-03 1.042748417916069181e-03 1.800896010956858160e-04
5.000000000000000000e+01 1.194669535857951093e-03 1.023666039967784406e-03 1.710034958901666599e-04
5.100000000000000000e+01 1.167677762154507035e-03 1.005297575745398670e-03 1.623801864091082832e-04
5.200000000000000000e+01 1.141792065807239196e-03 9.876031488406421602e-04 1.541889169665970627e-04
5.300000000000000000e+01 1.117050132116677265e-03 9.702901403002789447e-04 1.467599918163983198e-04
5.400000000000000000e+01 1.093283251140234925e-03 9.535941182956135303e-04 1.396891328446213138e-04
5.500000000000000000e+01 1.070436123588263885e-03 9.374823023142911209e-04 1.329538212739727102e-04
5.600000000000000000e+01 1.048541342587957625e-03 9.216754712799147794e-04 1.268658713080428183e-04
5.700000000000000000e+01 1.027463139779493913e-03 9.064070253991319322e-04 1.210561143803620080e-04
5.800000000000000000e+01 1.007157625821897187e-03 8.916496723541447993e-04 1.155079534677523330e-04
5.900000000000000000e+01 9.875839702402351532e-04 8.773779421622618759e-04 1.102060280779733722e-04
6.000000000000000000e+01 9.687669884569143292e-04 8.633375306240155837e-04 1.054294578328987048e-04
6.100000000000000000e+01 9.506052827140157009e-04 8.497479888706821515e-04 1.008572938433335901e-04
6.200000000000000000e+01 9.330659197585886933e-04 8.365878036934330580e-04 9.647811606515567593e-05
6.300000000000000000e+01 9.161181152732694993e-04 8.238368134837077954e-04 9.228130178956164961e-05
6.400000000000000000e+01 8.997722102743587608e-04 8.112890002370036447e-04 8.848321003735512959e-05
6.500000000000000000e+01 8.839602699265204123e-04 7.991223176531926870e-04 8.483795227332769826e-05
6.600000000000000000e+01 8.686570904182316054e-04 7.873195906523964335e-04 8.133749976583513127e-05
6.700000000000000000e+01 8.538390140946146983e-04 7.758646629088202006e-04 7.797435118579445709e-05
6.800000000000000000e+01 8.395070750812425172e-04 7.645887922531902081e-04 7.491828282805230912e-05
6.900000000000000000e+01 8.256160993184767736e-04 7.536378318896711165e-04 7.197826742880569773e-05
7.000000000000000000e+01 8.121464637445635019e-04 7.429979117422857429e-04 6.914855200227775899e-05
7.100000000000000000e+01 7.990796812257391869e-04 7.326559408548177993e-04 6.642374037092134691e-05
7.200000000000000000e+01 7.864114084086481441e-04 7.224578418723610201e-04 6.395356653628717818e-05
7.300000000000000000e+01 7.741115700043060864e-04 7.125394465440672287e-04 6.157212346023889840e-05
7.400000000000000000e+01 7.621646561271960482e-04 7.028894073804346689e-04 5.927524874676135897e-05
7.500000000000000000e+01 7.505560068673815428e-04 6.934969824153192769e-04 5.705902445206229305e-05
7.600000000000000000e+01 7.392717551798763187e-04 6.843519953519362157e-04 5.491975982794008272e-05
7.700000000000000000e+01 7.283036442035363501e-04 6.753177843931608155e-04 5.298585981037553464e-05
7.800000000000000000e+01 7.176341821819908276e-04 6.665170862982747755e-04 5.111709588371603859e-05
7.900000000000000000e+01 7.072515899112477751e-04 6.579409865378344760e-04 4.931060337341326526e-05
8.000000000000000000e+01 6.971446934739831177e-04 6.495810180586016926e-04 4.756367541538143869e-05
8.100000000000000000e+01 6.873028860748748095e-04 6.414291335756793812e-04 4.587375249919542833e-05
8.200000000000000000e+01 6.777143581910894700e-04 6.333750023230911956e-04 4.433935586799828116e-05
8.300000000000000000e+01 6.683713309921291736e-04 6.255177227323034965e-04 4.285360825982562289e-05
8.400000000000000000e+01 6.592646945534474251e-04 6.178501986800119788e-04 4.141449587343545987e-05
8.500000000000000000e+01 6.503857796540712987e-04 6.103656702835778564e-04 4.002010937049346934e-05
