# [1]-ell [2]-1h+2h [3]-1h [4]-2h
2.000000000000000000e+00 2.360435234800287163e-01 1.146889719622228992e-01 1.213545515178058032e-01
3.000000000000000000e+00 1.547322525283580108e-01 8.577480735120217303e-02 6.895744517715583777e-02
4.000000000000000000e+00 1.124436835116506411e-01 6.837058469645551639e-02 4.407309881519512473e-02
5.000000000000000000e+00 8.703207130582328588e-02 5.671825832671126971e-02 3.031381297911201617e-02
6.000000000000000000e+00 7.030404807125621713e-02 4.836525434738594281e-02 2.193879372387027085e-02
7.000000000000000000e+00 5.857242430418172635e-02 4.208183522828228690e-02 1.649058907589943945e-02
8.000000000000000000e+00 4.994711220410673336e-02 3.718262780136232654e-02 1.276448440274440856e-02
9.000000000000000000e+00 4.337132206803388790e-02 3.325653673899031659e-02 1.011478532904356957e-02
1.000000000000000000e+01 3.821140643751264054e-02 3.004056584470533517e-02 8.170840592807305375e-03
1.100000000000000000e+01 3.406626334276605106e-02 2.735878618047756644e-02 6.707477162288486353e-03
1.200000000000000000e+01 3.067054459602475830e-02 2.508901831114034378e-02 5.581526284884413651e-03
1.300000000000000000e+01 2.784274468377775577e-02 2.314373381864779852e-02 4.699010865129958116e-03
1.400000000000000000e+01 2.545489392521169819e-02 2.145854931563386317e-02 3.996344609577833287e-03
1.500000000000000000e+01 2.341428328548567084e-02 1.998507350230041904e-02 3.429209783185253532e-03
1.600000000000000000e+01 2.165209282281699982e-02 1.868619143371712601e-02 2.965901389099873803e-03
1.700000000000000000e+01 2.011636594184815219e-02 1.753299144966436254e-02 2.583374492183789211e-03
1.800000000000000000e+01 1.876785947638595284e-02 1.649885361245347765e-02 2.269005863932475192e-03
1.900000000000000000e+01 1.757313273521247943e-02 1.557665071594415383e-02 1.996482019268325594e-03
2.000000000000000000e+01 1.650971093336604800e-02 1.474031170539456294e-02 1.769399227971484630e-03
2.100000000000000000e+01 1.555705627397191600e-02 1.398138177797532931e-02 1.575674495996587116e-03
2.200000000000000000e+01 1.469942584236662297e-02 1.328786390108026121e-02 1.411561941286362636e-03
2.300000000000000000e+01 1.392277183291236974e-02 1.265711848026052078e-02 1.265653352651848525e-03
2.400000000000000000e+01 1.321716816755553851e-02 1.207630384493039132e-02 1.140864322625147415e-03
2.500000000000000000e+01 1.257345167445699831e-02 1.154010914946655003e-02 1.033342524990448277e-03
